id,77ae5656e1b3992e8fbea4290e0b5b63,510e38e2ac64f3d36b3629eb9fcbb5f1,6d213e72169e53e08a512889e76f5a2b,076d60d6c268c2ef2320425f343234f7,1455f186d12ad849ef19e9496582e375,3103aaf2a3628d77f7a21308adf849a6,9acc4eb917299988d4d91c17db2d57aa,3a3a4c004552cd5c39a1d15896d158ea,57723724d44f911a548f4eccbcb22e70
id,รหัสเกษตร,รหัสแปลง,หมู่บ้าน,ลำดับแปลง,รายการแปลง,"ชนิดกาแฟ GI,Non-GI",รายละเอียดแปลง,มาตราฐานฟาร์ม,เจ้าหน้าที่ส่งเสริม
53ee7ae15994399e8c04099b5e0d8142,3010657,3010657-P01235-สี่พันไร่,สี่พันไร่,1,3010657-P01235-สี่พันไร่-โรบัสต้า,โรบัสต้า,"ประเภทแปลง: ไม่ระบุ , ชนิดกาแฟ GI/Non-GI: โรบัสต้า , พื้นที่แปลง: ไร่: ไม่ระบุ , งาน: ไม่ระบุ , ตารางวา: ไม่ระบุ , จำนวนต้นกาแฟ: ไม่ระบุ",ไม่ใช่,ไม่ระบุ
2c365ab0d2f6f082dbec08d9f3a292d2,3011035,3011035-P01236-สี่พันไร่,สี่พันไร่,1,3011035-P01236-สี่พันไร่-โรบัสต้า,โรบัสต้า,"ประเภทแปลง: ไม่ระบุ , ชนิดกาแฟ GI/Non-GI: โรบัสต้า , พื้นที่แปลง: ไร่: ไม่ระบุ , งาน: ไม่ระบุ , ตารางวา: ไม่ระบุ , จำนวนต้นกาแฟ: 1000",ไม่ใช่,ไม่ระบุ
1b9469238e46b45bcf25485807e9c9e1,3011448,3011448-P01237-ปางพระราชทาน,ปางพระราชทาน,1,3011448-P01237-ปางพระราชทาน-โรบัสต้า,โรบัสต้า,"ประเภทแปลง: ไม่ระบุ , ชนิดกาแฟ GI/Non-GI: โรบัสต้า , พื้นที่แปลง: ไร่: ไม่ระบุ , งาน: ไม่ระบุ , ตารางวา: ไม่ระบุ , จำนวนต้นกาแฟ: 532",ไม่ใช่,ไม่ระบุ
bb78a241473e0fbf69f735e85c0ac861,3011466,3011466-P01238-สี่พันไร่,สี่พันไร่,1,3011466-P01238-สี่พันไร่-โรบัสต้า,โรบัสต้า,"ประเภทแปลง: ไม่ระบุ , ชนิดกาแฟ GI/Non-GI: โรบัสต้า , พื้นที่แปลง: ไร่: ไม่ระบุ , งาน: ไม่ระบุ , ตารางวา: ไม่ระบุ , จำนวนต้นกาแฟ: ไม่ระบุ",ไม่ใช่,ไม่ระบุ
6520ab04e4fef5aa8b0d618ada582708,3011581,3011581-P01239-ห้วยน้ำขุ่น,ห้วยน้ำขุ่น,1,"3011581-P01239-ห้วยน้ำขุ่น-อาราบิก้า Non-GI","อาราบิก้า Non-GI","ประเภทแปลง: ไม่ระบุ , ชนิดกาแฟ GI/Non-GI: อาราบิก้า Non-GI , พื้นที่แปลง: ไร่: ไม่ระบุ , งาน: ไม่ระบุ , ตารางวา: ไม่ระบุ , จำนวนต้นกาแฟ: ไม่ระบุ",ไม่ใช่,ไม่ระบุ
960a5d92ab4e76ac2722cb5f4a6d8a25,3011695,3011695-P01240-ห้วยน้ำขุ่น,ห้วยน้ำขุ่น,1,"3011695-P01240-ห้วยน้ำขุ่น-อาราบิก้า Non-GI","อาราบิก้า Non-GI","ประเภทแปลง: ไม่ระบุ , ชนิดกาแฟ GI/Non-GI: อาราบิก้า Non-GI , พื้นที่แปลง: ไร่: ไม่ระบุ , งาน: ไม่ระบุ , ตารางวา: ไม่ระบุ , จำนวนต้นกาแฟ: ไม่ระบุ",ไม่ใช่,ไม่ระบุ
78af23a43fb66b073bc37651201626ac,3012032,3012032-P01241-ปางพระราชทาน,ปางพระราชทาน,1,3012032-P01241-ปางพระราชทาน-โรบัสต้า,โรบัสต้า,"ประเภทแปลง: ไม่ระบุ , ชนิดกาแฟ GI/Non-GI: โรบัสต้า , พื้นที่แปลง: ไร่: ไม่ระบุ , งาน: ไม่ระบุ , ตารางวา: ไม่ระบุ , จำนวนต้นกาแฟ: ไม่ระบุ",ไม่ใช่,ไม่ระบุ
e1d7ae5a649ce3fc8f90b63cc03fe8c9,3012076,3012076-P01242-สี่พันไร่,สี่พันไร่,1,3012076-P01242-สี่พันไร่-โรบัสต้า,โรบัสต้า,"ประเภทแปลง: ไม่ระบุ , ชนิดกาแฟ GI/Non-GI: โรบัสต้า , พื้นที่แปลง: ไร่: ไม่ระบุ , งาน: ไม่ระบุ , ตารางวา: ไม่ระบุ , จำนวนต้นกาแฟ: ไม่ระบุ",ไม่ใช่,ไม่ระบุ
41937cc903f51d75e139279f4828fad6,3012184,3012184-P01243-สี่พันไร่,สี่พันไร่,1,3012184-P01243-สี่พันไร่-โรบัสต้า,โรบัสต้า,"ประเภทแปลง: ไม่ระบุ , ชนิดกาแฟ GI/Non-GI: โรบัสต้า , พื้นที่แปลง: ไร่: ไม่ระบุ , งาน: ไม่ระบุ , ตารางวา: ไม่ระบุ , จำนวนต้นกาแฟ: ไม่ระบุ",ไม่ใช่,ไม่ระบุ
78910c2e2667df850ab3a1ceeabdfe17,3012426,3012426-P01244-ห้วยน้ำขุ่น,ห้วยน้ำขุ่น,1,"3012426-P01244-ห้วยน้ำขุ่น-อาราบิก้า Non-GI","อาราบิก้า Non-GI","ประเภทแปลง: ไม่ระบุ , ชนิดกาแฟ GI/Non-GI: อาราบิก้า Non-GI , พื้นที่แปลง: ไร่: ไม่ระบุ , งาน: ไม่ระบุ , ตารางวา: ไม่ระบุ , จำนวนต้นกาแฟ: ไม่ระบุ",ไม่ใช่,ไม่ระบุ
